Scenario ID,Health Signal,Subsystem,Current Task,Condition,Anomaly,Recommended Procedure,Expected Outcome,Operator Approval Required,Priority
SCN-00048,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00049,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00050,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00051,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00052,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00053,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00054,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00055,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00056,Red,Storage,Idle,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00057,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00058,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00059,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00060,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00061,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00062,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00063,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00064,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00065,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00066,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00067,Yellow,Storage,Capturing Earth Images,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00068,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00069,Yellow,Storage,Idle,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00070,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00071,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00072,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00073,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00074,Green,Power,Downlink,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00075,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00076,Yellow,Power,Orbit Correction,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00077,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00078,Red,Thermal,Downlink,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00079,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00080,Red,Communication,Capturing Earth Images,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00081,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00082,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00083,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00084,Red,Thermal,Capturing Earth Images,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00085,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00086,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00087,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00088,Red,Storage,Idle,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00089,Yellow,Power,Calibration,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00090,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00091,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00092,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00093,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00094,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00095,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00096,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00097,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00098,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00099,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00100,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00101,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00102,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00103,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00104,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00105,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00106,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00107,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00108,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00109,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00110,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00111,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00112,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00113,Yellow,Storage,Idle,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00114,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00115,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00116,Yellow,Storage,Downlink,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00117,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00118,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00119,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00120,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00121,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00122,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00123,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00124,Red,Communication,Calibration,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00125,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00126,Red,Power,Capturing Earth Images,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-00127,Red,Communication,Idle,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00128,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00129,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00130,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00131,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00132,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00133,Yellow,Power,Idle,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00134,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00135,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00136,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00137,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00138,Yellow,Storage,Capturing Earth Images,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00139,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00140,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00141,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00142,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00143,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00144,Yellow,Storage,Calibration,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00145,Red,Storage,Downlink,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00146,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00147,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00148,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00149,Yellow,Communication,Idle,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00150,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00151,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00152,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00153,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00154,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00155,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00156,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00157,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00158,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00159,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00160,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00161,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00162,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00163,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00164,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00165,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00166,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00167,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00168,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00169,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00170,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00171,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00172,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00173,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00174,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00175,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00176,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00177,Green,Power,Orbit Correction,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00178,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00179,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00180,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00181,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00182,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00183,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00184,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00185,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00186,Red,Storage,Downlink,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00187,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00188,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00189,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00190,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00191,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00192,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00193,Yellow,Communication,Idle,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00194,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00195,Yellow,Storage,Orbit Correction,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00196,Red,Storage,Downlink,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00197,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00198,Green,Power,Downlink,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00199,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00200,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00201,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00202,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00203,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00204,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00205,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00206,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00207,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00208,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00209,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00210,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00211,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00212,Red,Power,Calibration,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-00213,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00214,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00215,Yellow,Power,Idle,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00216,Yellow,Power,Idle,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00217,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00218,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00219,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00220,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00221,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00222,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00223,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00224,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00225,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00226,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00227,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00228,Yellow,Power,Idle,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00229,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00230,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00231,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00232,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00233,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00234,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00235,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00236,Red,Communication,Orbit Correction,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
